__label__small	#FITmasTime #WednesdayWisdom _RETWEET …	1688
__label__moderate	MT @NYCNavy: NOW #USSHueCity makes its approach to Staten Island. #VeteransWeek #NavyInNYC _IMAGE	1435
__label__high	MT @USNavyEurope: #USSDonaldCook transited the Turkish Straits and entered the Black Sea Jan. 19, 2019 to conduct maritime security operations in support of regional allies and #NavyPartnerships. _IMAGE	3092
__label__small	THIS WEEK: @CityOfGreenBay and #FoxCities host #NavyWeek, culminating with the @EAA #OSH17 Airshow - _URL  @NavyOutreach _IMAGE	949
__label__small	LIVE NEXT 10:30A ET: #SAS17's Interoperability and Distributed Operations panel - _URL  _IMAGE	357
__label__small	Attention Sailors and family members, today is the day! Make sure your voice is heard. _RETWEET …	3558
__label__high	A look at the other end of call: @POTUS @realDonaldTrump aboard #AirForceOne with National Security Advisor H.R. McMaster.  Via @Scavino45 _IMAGE	405
__label__moderate	Around the fleet in today's #USNavy photos of the day: @US7thFleet celebrates #CPO125th birthday, #USSBonhommeRichard in Indo-Pacific, #F35B aboard #USSEssex, HSC-9 resupplies #USSGeorgeHWBush. info and download: _URL … _IMAGE	2027
__label__small	@CVN77_GHWB Carrier Strike Group completes exercise #SaxonWarrior 2017 - _URL … _IMAGE	1047
__label__high	Operationally unpredictable, @USSHarrySTruman CSG begins operations in @USNavyEurope in support of @NATO allies, European and African partner nations, coalition partners, and U.S. national security interest in Europe and Africa - _URL … _IMAGE	2641
__label__small	"MT @USPacificFleet: #USNSMontfordPoint conducts ""game-changers"" ops drills with @MSCSealift prepositioned ships - _URL  _IMAGE"	968
__label__moderate	#OTD 73 years ago: Hospital Apprentice First Class Robert E. Bush administered aid to a wounded @USMC officer while firing back at opposing Japanese forces during action on the island of Okinawa, earning the #MedalOfHonor. @USNHistory _IMAGE	2167
__label__moderate	MT @USPacificFleet: #USSPinckney joining 20+ ships from 18 navies in @ASEAN International Fleet Review in Thailand - _URL … _IMAGE	1490
__label__high	#Remembering41: #USNavy #USSGeorgeHWBush's crew celebrated President George H.W. Bush's life with a candlelight vigil Sunday on the ship's flight deck, spelling out the initials of our nation's 41st president. @jgm41 @Bush41Library _IMAGE	2940
__label__moderate	#USSNewYork departed Mayport Saturday for potential assistance following Hurricane #Nate - _URL … _IMAGE	1309
__label__small	@secnav76 announces Omar Lopez as @RealNCIS Director - _URL … _IMAGE	3678
__label__small	LIVE 11A ET: #SSN789 #IndianaChristening with @VP as principal speaker.: _URL : _URL  or #Periscope _IMAGE	519
